"Bescheid-Nr.
Notice-no."; "Bezeichnung des Stoffes oder Gegenstandes
Name (trade name) of the substance or article"; "Identifikation
Identification"; "Lagergruppe+Verträglichkeitsgruppe
Storage group+compatibility group"; "Sicherheitsrelevante Verpackungsmerkmale
Safety-relevant packaging characteristics (some only in German)"
"D/BAM-0412/22"; "Riodet IM"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Block zur Aufnahme der Zünder, bestehend aus drei mit Leim verklebten Schichten:

  Unterste Schicht im Block:
Verpresstes Papier mit einer Dichte von 0,45-0,60 gr/cm3 und einer Mindestdicke von 12 mm.

  Mittlere Schicht im Block:
Verpresstes Papier mit einer Dichte von 0,45-0,60 gr/cm3 und einer Mindestdicke von 25 mm. Diese Schicht beinhaltet 40 Aussparungen mit jeweils einem Durchmesser von 12 mm deren Zentren jeweils einen Mindestabstand von 25 mm zueinander haben.

  Oberste Schicht im Block:
Pappschicht, mit 40 Aussparungen mit einem Durchmesser zwischen 1 und 2 mm kleiner als der Durchmesser der Aussparungen in der mittleren Schicht. Der Zweck der obersten Schicht ist es, die Zünder in ihrer Ausrichtung zu halten.

Zwischen:
Kiste aus Wellpappe, beinhaltet maximal 1 Innenverpackung.

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 10 Zwischenverpackungen mit insgesamt nicht mehr als 400 Zündern.

Nebenbestimmungen:
 Die Lagergruppenzuordnung gilt nur für Zünder mit einer Hülse aus Aluminium, einer Sekundärladung von maximal 830 mg PETN sowie einer Primärladung von maximal 110 mg."
"D/BAM-0413/22"; "Riodet ID"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Block zur Aufnahme der Zünder, bestehend aus drei mit Leim verklebten Schichten:

  Unterste Schicht im Block:
Verpresstes Papier mit einer Dichte von 0,45-0,60 gr/cm3 und einer Mindestdicke von 12 mm.

  Mittlere Schicht im Block:
Verpresstes Papier mit einer Dichte von 0,45-0,60 gr/cm3 und einer Mindestdicke von 25 mm. Diese Schicht beinhaltet 40 Aussparungen mit jeweils einem Durchmesser von 12 mm deren Zentren jeweils einen Mindestabstand von 25 mm zueinander haben.

  Oberste Schicht im Block:
Pappschicht, mit 40 Aussparungen mit einem Durchmesser zwischen 1 und 2 mm kleiner als der Durchmesser der Aussparungen in der mittleren Schicht. Der Zweck der obersten Schicht ist es, die Zünder in ihrer Ausrichtung zu halten.

Zwischen:
Kiste aus Wellpappe, beinhaltet maximal 1 Innenverpackung.

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 10 Zwischenverpackungen mit insgesamt nicht mehr als 400 Zündern.

Nebenbestimmungen:
 Die Lagergruppenzuordnung gilt nur für Zünder mit einer Hülse aus Aluminium, einer Sekundärladung von maximal 830 mg PETN sowie einer Primärladung von maximal 110 mg."
"D/BAM-0024/23"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)"
"D/BAM-0026/23"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit je einem Zünder


Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A),
verstärkt mit 15 mm Sperrholz und 1.5 mm Stahlplatten an beiden Enden der Papprohre"
"D/BAM-1239/22"; "RS14"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen:
Fass aus Kunststoff (UN1H2) mit maximal
4 kg Treibladungspulver"
"D/BAM-0410/23"; "SMP 698"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen: 
Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen, 
beinhaltet maximal 23 kg NEM"
"D/BAM-1202/22"; "SCHWARZPULVER"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1035/22"; "HS6 (WC 540)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0961/22"; "SMP 226"; ""; "1.1C"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0918/22"; "SMP 767"; ""; "1.1C"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0879/22"; "Winchester StaBALL HD (SMP 704)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0873/22"; "Winchester StaBALL Match (SMP 696)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0800/22"; "HOHLLADUNGEN, ohne Zündmittel"; "Bescheid mit Anlage"; "1.4D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und das Versandstück mit ""OBEN"" gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-0793/22"; "Selective Electronic Detonator 0015 HVC RDXundSelective Electronic Detonator 0019 HVC HNS"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus Pappe mit Abstandhaltern aus antistatischem Schaumstoff. Die Gegenstände sind liegend angeordnet, wobei der seitliche Abstand mindestens 45 mm beträgt und der Abstand in Längsrichtung mindestens 70 mm.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit bis zu sechs Innenverpackungen übereinander, getrennt durch 5 mm Hartpapierplatten. Der vertikale Abstand der Gegenstände beträgt mindestens 35 mm."
"D/BAM-0337/22"; "RS14"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen: 
Behälter aus Kunststoff, Volumen: 1350 ml,
beinhaltet 0,25 kg NEM

Zwischen: 
Trennwände aus Pappe

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 8 Innenverpackungen mit insgesamt maximal 2 kg NEM
----------
alternativ

Innen: 
Behälter aus Kunststoff, Volumen: 1350 ml,
beinhaltet 0,4 kg NEM

Zwischen: 
Trennwände aus Pappe

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 8 Innenverpackungen mit insgesamt maximal 3,2 kg NEM"
"D/BAM-0238/22"; "Activationunit 3"""; ""; "1.1F"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0243/22"; "Activationunit 5"""; ""; "1.1F"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0399/22"; "SMP 756"; ""; "1.1C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Fass aus Pappe (UN4G)"
"D/BAM-0400/22"; "SMP 735"; ""; "1.1C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Fass aus Pappe (UN4G)"
"D/BAM-0401/22"; "WC 296"; ""; "1.1C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Fass aus Pappe (UN4G)"
"D/BAM-2530/21"; "Percussion Igniter DYNAWELL NB"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Nicht mehr als 25 Zünder
in einem Aufnahmeblock aus Sperrholz mit Bohrungen.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A)
mit einer Innenverpackung."
"D/BAM-0346/22"; "i-kon III und i-kon III RX"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Schutzhülle, bestehend aus einem Pappzylinder mit einer Länge von 60 mm und einem Durchmesser von 39 mm, der mit mit einem sechseckigem Zylinder aus Gips oder MDF gefüllt ist, welcher eine Vertiefung für die Aufnahme eines Zünders aufweist.

Der Zünder steckt ca. bis zur Hälfte (mit dem detonierenden Ende voran) in der Schutzhülle.

Die Zünderdrähte werden gebündelt so platziert, dass die Schutzhülle nicht an den Wänden der Außenverpackung liegt.

Zwischen: nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 40 Zünder."
"D/BAM-0347/22"; "uni tronic 600"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Schutzhülle, bestehend aus einem Pappzylinder mit einer Länge von 60 mm und einem Durchmesser von 39 mm, der mit mit einem sechseckigem Zylinder aus Gips oder MDF gefüllt ist, welcher eine Vertiefung für die Aufnahme eines Zünders aufweist.

Der Zünder steckt ca. bis zur Hälfte (mit dem detonierenden Ende voran) in der Schutzhülle.

Die Zünderdrähte werden gebündelt so platziert, dass die Schutzhülle nicht an den Wänden der Außenverpackung liegt.

Zwischen: nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 40 Zünder."
"D/BAM-0348/22"; "eDev II"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Schutzhülle, bestehend aus einem Pappzylinder mit einer Länge von 60 mm und einem Durchmesser von 39 mm, der mit mit einem sechseckigem Zylinder aus Gips oder MDF gefüllt ist, welcher eine Vertiefung für die Aufnahme eines Zünders aufweist.

Der Zünder steckt ca. bis zur Hälfte (mit dem detonierenden Ende voran) in der Schutzhülle.

Die Zünderdrähte werden gebündelt so platziert, dass die Schutzhülle nicht an den Wänden der Außenverpackung liegt.

Zwischen: nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 40 Zünder."
"D/BAM-0361/22"; "Para Quinone Dioxime (PQD)Batch-Nr. PQD/LV/10-01/2021"; ""; "1.4C"; "In folgender besonderen Verpackung:
 60-Liter Fass aus HMHDPE
(UN1H2/Y75/S/** SGP/MC 006),
beinhaltet maximal 25 kg PQD"
"D/BAM-2488/21"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.1B"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-2490/21"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit je einem Zünder

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A),
verstärkt mit 15 mm Sperrholz und 1,5 mm Stahlplatten an beiden Enden der Papprohre"
"D/BAM-2491/21"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Aufnahmeblock aus Sperrholz mit Bohrungen,
mit maximal 25 Zündern

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A),
mit einer Innenverpackung"
"D/BAM-2489/21"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich 

Außen:
Kisten aus Pappe (UN4G)"
"D/BAM-0030/22"; "TRINITROTOLUEN (TNT),in Blöcken zu je 250 g"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innenverpackung:
Edelstahl-Box (Werkstoff 1.4571)

Außenverpackung:
Zarges-Aluminiumbox K470"
"D/BAM-0031/22"; "Plastiksprengstoff (PETN),kunststoffgebunden,in Blöcken zu je 500 g"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innenverpackung:
Edelstahl-Box (Werkstoff 1.4571)

Außenverpackung:
Zarges-Aluminiumbox K470"
"D/BAM-0032/22"; "RDX,kunststoffgebunden,in Blöcken zu je 500 g"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innenverpackung:
Edelstahl-Box (Werkstoff 1.4571)

Außenverpackung:
Zarges-Aluminiumbox K470"
"D/BAM-0033/22"; "Perunit E,in Stangen"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innenverpackung:
Edelstahl-Box (Werkstoff 1.4571)

Außenverpackung:
Zarges-Aluminiumbox K470"
"D/BAM-0188/22"; "Para Quinone Dioxime (PQD)Batch-Nr. PQD/LV/10-01/2021"; ""; "1.4C"; "In folgender besonderen Verpackung:
 60-Liter Fass aus HMHDPE
(UN1H2/Y75/S/** SGP/MC 006),
beinhaltet maximal 25 kg PQD

Befristung:
Der Bescheid verliert seine Gültigkeit mit Ablauf des Temporal limitation:
The notice will become invalid by the end of  2022-04-03."
"D/BAM-0695/21"; "Winchester StaBALL 6.5"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-1818/21"; "Bullseye 84"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff mit maximal 15,9 kg NEM

Zwischen:
nicht erforderlich

Außen:
Fass aus Pappe,
UN1G/Y25/S/11 USA/GBC

Pro Außenverpackung ist eine Innenverpackung enthalten."
"D/BAM-1683/21"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.1B"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1685/21"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
In special packaging as follows:
 Inner:
Boxes made of fibreboard with pipes made of fibreboard, each contains one detonator

Intermediate:
not necessary

Outer:
Box, made of fibreboard (UN4G)"
"D/BAM-2327/21"; "Booster 160"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-2352/21"; "ANZÜNDER"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit je einem Anzünder

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A),
verstärkt mit 15 mm Sperrholz und 1,5 mm Stahlplatten an beiden Enden der Papprohre"
"D/BAM-1670/21"; "Percussion Initiator NB HT PYX undPercussion Initiator NB HT HNS"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Nicht mehr als 25 Zünder in einem Aufnahmeblock aus Sperrholz mit Bohrungen.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A) mit einer Innenverpackung."
"D/BAM-1668/21"; "DynaStage Perforating System undHollow Carrier Gun System"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
Kiste aus
  Naturholz, einfach (UN4C1)
  Naturholz, mit staubdichten Wänden (UN4C2)
  Sperrholz (UN4D)
  Holzfaserwerkstoff (UN4F)"
"D/BAM-1672/21"; "Percussion Initiator NB HT PYX undPercussion Initiator NB HT HNS"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Je eine Sprengkapsel in einer leitfähigen Packtüte in einem Loch in dem Einsatz zur Einschlagverpackung aus Pappe

Zwischen:
Zwei Einschlagverpackungen mit je 25 Sprengkapseln in einem Alfosack

Außen:
Kiste aus Pappe (UN4G), beinhaltet eine Zwischenverpackung

Die Verpackung entspricht dem Zeichnungssatz K 834."
"D/BAM-1009/21"; "PBX L1 / L2 (ausgehärtet)"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1008/21"; "Laborsprengkörper Wirkelement Countermeasure/CM-Modul"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1427/21"; "SPRENGSCHNUR, biegsam"; "Bescheid mit Anlage"; "1.1D"; "In folgender besonderen Verpackung:
 Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen.

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein."
"D/BAM-1637/21"; "PETN formbar (Plastex)"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1626/21"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.1B"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1627/21"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kisten aus Pappe (UN4G)"
"D/BAM-1628/21"; "SPRENGKAPSELN, ELEKTRISCH"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit je einem Zünder

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A),
verstärkt mit 15 mm Sperrholz und 1.5 mm Stahlplatten an beiden Enden der Papprohre"
"D/BAM-1081/21"; "HOHLLADUNGEN, ohne Zündmittel"; "Bescheid mit Anlage"; "1.4D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und das Versandstück mit ""OBEN"" gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-1226/21"; "TOVEX T"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1225/21"; "TOVEX SE"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-1426/21"; "SPRENGSCHNUR, biegsam"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Pappeinlage, vakuum-verschweißt, mit einer Mindestdicke von 6 mm und den Maßen der Zwischenverpackung, beinhaltet eine Sprengschnur von nicht mehr als 48 m Länge mit max. NEM 0,226 kg.

Die Sprengschnur liegt aufgewickelt zu einer flachen Spirale auf der Pappeinlage. Zwischen jeder Windung befindet sich ein parallel verlegter PVC-Schlauch oder Silikonschlauch. Die Enden der Sprengschnur sind mit einem Silikonschlauch geschützt und liegen nebeneinander quer über der Sprengschnurspirale. Sie sind durch ein aufliegendes U-Profil aus Kunststoff fixiert. Zwischen der fixierten Schnur und der Spirale ist ein Kupferblechwinkel mit 0,3 mm Materialstärke (Schneidcutter) befestigt.
--------------------------------
Zwischen:
Kiste aus Pappe (UN4G) mit einer Innennverpackung. Die Zwischenverpackung wird durch Abstandshalter mittig in der Außenverpackung gehalten.

Außen:
Kiste aus Sperrholz (UN4D) mit einer Zwischenverpackung.
Die Zwischenverpackung wird durch Abstandshalter mittig in der Außenverpackung gehalten."
"D/BAM-0849/21"; "Dinitratomethyl-bis (1,2,4-oxadiazole)"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
Kunststoffdose, chemikalienresistent und gegen elektrostatische Aufladung gesichert, beinhaltet maximal 100 g NEM.

Zwischen:
Der Zwischenraum zwischen Innen  und Außenverpackung ist mit nicht brennbaren Füllmaterial ausgefüllt.

Außen:
Kiste aus Pappe (UN4G),
beinhaltet eine Innenverpackung"
"D/BAM-0894/21"; "Riodet AI"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Block zur Aufnahme der Zünder, bestehend aus drei mit Leim verklebten Schichten:

  Unterste Schicht im Block:
Verpresstes Papier mit einer Dichte von 0,45-0,60 gr/cm3 und einer Mindestdicke von 12 mm.

  Mittlere Schicht im Block:
Verpresstes Papier mit einer Dichte von 0,45-0,60 gr/cm3 und einer Mindestdicke von 25 mm. Diese Schicht beinhaltet 40 Aussparungen mit jeweils einem Durchmesser von 12 mm deren Zentren jeweils einen Mindestabstand von 25 mm zueinander haben.

  Oberste Schicht im Block:
Pappschicht, mit 40 Aussparungen mit einem Durchmesser zwischen 1 und 2 mm kleiner als der Durchmesser der Aussparungen in der mittleren Schicht. Der Zweck der obersten Schicht ist es, die Zünder in ihrer Ausrichtung zu halten.
-------------------------------
Zwischen:
Kiste aus Wellpappe, beinhaltet maximal 1 Innenverpackung.

Außen:
Kiste aus Pappe (UN4G),
beinhaltet maximal 10 Zwischenverpackungen mit insgesamt nicht mehr als 400 Zündern.

Nebenbestimmungen:
 Die Lagergruppenzuordnung gilt nur für Zünder mit einer Hülse aus Aluminium und einer Sekundärladung von maximal 830 mg PETN."
"D/BAM-1187/21"; "DETONEX 5"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
"D/BAM-1189/21"; "DETONEX 12"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Die Enden der Sprengschnur müssen dicht verschlossen sein, z. B. mit Hilfe einer Verschlusseinrichtung, die so fest verschlossen ist, dass kein explosiver Stoff entweichen kann. Die Enden der Sprengschnur müssen befestigt sein.

Es sind keine Innenverpackungen erforderlich, sofern die Gegenstände in Rollen vorliegen."
