Titel;Stadtbezirk;Projektfamilie;Themenfeld;Nummer;Projektgeneration;Nordwärts-Prämiert;Status;Kurzbeschreibung;Straße;Hausnummer;Unterbezirk Nr.;Unterbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Stadtbezirk Nr.;Stadtbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum;Ostwert;Hochwert;Geografische Koordinaten;Kommune
Dinge zum Laufen bringen;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Bildung;961;B (4);;umgesetzt/abgeschlossen;"In einer Kooperation der UZWEI im Dortmunder U mit dem Medienzentrum Dortmund, dem Kompetenzteam NRW/Dortmund sowie drei Dortmunder Grundschulen entwickeln Kinder, Lehrer/innen, Künstler/innen und Studierende gemeinsam, was man mit digitalen Medien in der Grundschule machen kann. Nach zunächst drei Fortbildungstagen für das Lehrer-, Künstler- und Studierendenteam folgen drei intensive Praxiswochen mit den Schulklassen auf der 2. Etage im Dortmunder U. Die Ergebnisse werden jeweils für 3-6 Wochen auf der UZWEI im Dortmunder U öffentlich ausgestellt.

Sachstand 07/2021: Coronabedingt mussten die Durchführung des Projekts 2021 abgebrochen werden. Eine Durchführung ist nun für 2022 geplant.

Sachstand 07/2022: Das Projekt wird derzeit nicht umgesetzt.

Sachstand 08/2023: Multimediales Projekt mit Künstler*innen - Primarstufe. Ziele: Förderung von Medienkompetenz (Schwerpunkt: Produzieren und Präsentieren) im Primarbereich.
Eine Durchführung  hat Anfang 2023 stattgefunden und soll auch weiterhin fortgeführt werden. Das Projekt besteht für die Schulen aus folgenden Phasen: 
Phase 1: Fortbildung, Phase 2: Umsetzung, Phase 3: Ausstellung auf der UZWEI

Sachstand 03/2025: Das Projektvorhaben wird auch in 2025 umgesetzt. 3 Grundschulen nehmen aktuell an der Umsetzung teil. Das Vorhaben wird nicht mehr über ""nordwärts"" finanziert.";Königswall;21;003;Cityring-West;000;City;10;Innenstadt-West;011;City;;;392855.2599999997;578362.9799999995;51.516216419, 7.45582098787;Dortmund
DoNaPart;Mengede;Zivilgesellschaft;Soziale Innovation;884;B (2);;umgesetzt/abgeschlossen;"Ziel des Forschungsprojekts DoNaPart ist es, gemeinsam mit der Bewohnerschaft die Lebensqualität zu steigern und das Lebensumfeld in Westerfilde und Bodelschwingh nachhaltig zu verschönern. Ein Fokus wird hierbei auf das Empowerment der BewohnerInnen gelegt. D. h., dass die Menschen dazu befähigt werden sollen, sich eigenverantwortlich und selbstbestimmt für das Wohlergehen ihres Stadtteils einzusetzen. 

Sachstand 01/2018: Basierend auf den Erkenntnissen und Erfahrungen aus dem vergangenen Projektjahr hat das Projektteam für die drei Handlungsfelder Energie, Mobilität und Konsum jeweils drei Mitmachaktionen/-maßnahmen konzipiert, die nun im Jahr 2018 durchgeführt werden sollen. 

Sachstand 04/2019: Projekt ist in die letzten Projekt-Monate gestartet; 2. Haushaltsbefragung (ex-post) ist gestartet (Zielgröße ca. 600 Interviews); Befragungen mit Mitwirkenden bei DoNaPart-Aktionen starten, Evaluation indiv. und gemeinwesenbezogenes Empowerment; 2 Mitmachmaßnahmen werden in 2019 noch stattfinden: 2. Versuch Stromsparwettbewerb & Aufbau eines Sandkastens im Bürgergarten Westerfilde; Präsenz im Quartier wird über Sprechzeiten beibehalten, jedoch vermehrt nur 1-fach besetzt; Abschlussveranstaltung im Quartiersbüro für Juni geplant.

Sachstand 10/2019: Die Abschlusstagung des Projekts DoNaPart hat am 11. Oktober 2019 stattgefunden.";Westerfilder Straße;23;960;Westerfilde;960;Westerfilde;9;Mengede;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;387232.431;5711683.139999999;51.5449637522, 7.37375533561;Dortmund
dreizeit – miteinander entdecken, voneinander lernen;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Bildung;934;B (3);;gestartet/läuft;"Bei ""dreizeit – miteinander entdecken, voneinander lernen“ (www.dreizeit.org) übernehmen ältere Erwachsene (50+) eine Patenschaft für Grundschulkinder (insbes. sozial benachteiligte u. Flüchtlinge). Als Tandem (1 Erwachsener + 2 Kinder) absolvieren sie über den Zeitraum eines Jahres Aktivitäten in den Erlebnisräumen ""Wald"", ""Landwirtschaft"" u. ""Ernährung"" (durchschnittlich pro Monat zwei Termine a 4 Stunden).

Sachstand 05/2018: Dank zwischenzeitlich durch die RAG Stiftung und die Software AG Stiftung bewilligter Förderungen konnte das Projekt gestartet werden. Die Mittel reichen aber momentan nur für das laufende Jahr aus. Für 2019 und die Folgejahre stehen ebenfalls Mittel zur Verfügung, die aber nur in Kombination mit den beantragten Mitteln aus ""nordwärts"" eine Fortführung ermöglichen würden.

Sachstand 04/2020: Das Projekt ist gestartet.

Sachstand 06/2021:  Nach starken Einschränkungen auf Grund der Corona-Pandemie, soll das Projekt ab Sommer 2021 wieder im vollen Umfang laufen. Demensprechend beginnen dann auch wieder die Aktivitäten in den drei dreizeit-Themenfeldern.

Sachstand 06/2022: Nach der „Coronapause“ mit vielen Unterbrechungen nimmt das Projekt mit neuen Tandems und Aktivitäten in allen drei Themenfelder nun wieder Fahrt auf.

Sachstand 06/2023: Nach den Unterbrechungen während der „Coronazeit“ läuft das Projekt „dreizeit“ seit dem Sommer 2022 wieder normal, d.h. Tandems aus Ehrenamtlichen und Kindern nehmen an Aktivitäten in den drei Themenfelder „Wald“, „Landwirtschaft“ und „Ernährung“ teil.";;;;;;;;;;;;;;;;Dortmund
EhrenamtsTalk;Stadtbezirksübergreifend/gesamte Gebietskulisse;Zivilgesellschaft;Identität und bürgerschaftliches Engagement;732;B;;umgesetzt/abgeschlossen;"Gäste aus unterschiedlichen Bereichen (Wohlfahrsverbände, Politik, Verwaltung …)  diskutieren über das Themenfeld Ehrenamt.

Sachstand 01/2018: Noch nicht weiter entwickelt.

Sachstand 05/2019: Der Ehrenamtstalk wurde in den Ehrenamtsspaziergang weiterentwickelt, Interessierten werden während des Spazierganges unterschiedliche Organisationen und Ehrenämter im Stadtbezirk vorgestellt. Gestartet wurde das Projekt im Juli 2018 im Stadtbezirk Scharnhorst.

Sachstand 03/2020: Der Ehrenamtstalk wurde weiterentwickelt, in diesem Jahr wird ein Ehrenamtsspaziergang in Marten durchgeführt.

Sachstand 03/2020: Interkultureller Ehrenamtsspaziergang - FreiwilligenAgentur und lokal willkommen Mengede/Huckarde zeigen Engagementmöglichkeiten im Stadtbezirk: Um das ehrenamtliche Engagement in den Stadtteilen zu fördern, hat die FreiwilligenAgentur einen ""Dortmunder Ehrenamtsspaziergang"" am 26.06.2019 durchgeführt. Während des Spazierganges, können sich verschiedene Einrichtungen, mit ihren Engagementmöglichkeiten, kurz vorstellen und einen Einblick in ihre Arbeit geben. Für ehrenamtlich Tätige spielt die räumliche Nähe zum eigenen Wohnort oftmals eine große Rolle, viele wollen ihren eigenen Stadtbezirk stärken und sich dort engagieren. Gleichzeitig suchen auch Geflüchtete und Neuzugewanderte immer öfter den Kontakt zu Organisationen in ihrem Stadtbezirk. Um diesen Bedarfen gerecht zu werden, führt die FreiwilligenAgentur in Kooperation mit lokal willkommen, in diesem Jahr einen ""Interkulturellen Ehrenamtsspaziergang"" in Westerfilde durch. Etwa 20 Interessierte sind der Einladung gefolgt.

Sachstand 06/2021: Ein Ehrenamtsspaziergang ist für Herbst 2021 geplant.

Sachstand 08/2023: Das Format des EhrenamtsTalk floß in die Ehrenamtsspaziergänge ein und die Gespräche wurden dort integriert und haben sich etabliert. Somit wurde das Projekt erfolgreich umgesetzt und wird fortlaufend durch die Ehrenamtspaziergänge umgesetzt.";;;;;;;;;;;;;;;;Dortmund
Emscher Nordwärts - mit dem Fahrrad zu den Hochwasserrückhaltebecken;Mengede;Ökologie;Infrastrukturen\Sport+Freizeit;938;B (4);;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Emscherradweg im Kerngebiet des Geländes der IGA 2027

· Radverbindung schaffen: Innenstadt und Mengede
· Radverkehr unterstützen während der IGA 2027 und anschließend erleichtern für Freizeitnutzung

Es geht um: 
· die Schaffung einer Radstation mit Mieträdern und Abstellmöglichkeiten in der Nähe des Emscherradweges vom Phönixsee bis zum Hochwasserrückhaltebecken Mengede
· Beschilderungen/ Hinweistafeln auf der Route und an den Rückhaltebecken

Sachstand 06/2021: Durch Corona konnten noch keine Veranstaltungen geplant oder begonnen werden. 

Sachstand 09/2022: Das Projekt befindet sich derzeit in Vorbereitung. Die Rahmenbedingungen werden abgestimmt. Pandemiebedingt konnten zunächst noch keine Veranstaltungen geplant oder begonnen werden. 
Im Oktober 2021 hat eine Informationsveranstaltung zum Thema ""Emscher nordwärts"" vor Ort stattgefunden, bei der unter anderem dieses ""nordwärts""-Teilprojekt thematisiert wurde. Es wurde darüber informiert, dass eine neue Beschilderung durch die Emschergenossenschaft bereits beschlossen wurde und QR-Codes Informationen liefern könnten. Für die gewünschte Fahrradstation im Volksgarten Mengede gibt es noch keinen konkreten Entwurf. Ein Abstimmungsgespräch mit der Projektverantwortlichen und der Stadtverwaltung zur Weiterentwicklung des Projektes befindet sich derzeit in Planung.";Eckei;96;953;Ellinghausen;950;Schwieringhausen;9;Mengede;122;Mengede/Oestrich/Schwieringhausen;;;38887.141;5714845.359999999;51.5737110324, 7.39636350781;Dortmund
Entwicklung der Zeche Gneisenau zur Erlebnis- und Begegnungsstätte für den Stadtteil Derne;Scharnhorst;Soziales;Infrastrukturen\Kultur;522;B;;in Vorbereitung/Prüfung von Rahmenbedingungen/Projektskizze erstellt;"Entwicklung der Zeche Gneisenau zur Erlebnis- und Begegnungsstätte für den Stadtteil Derne

Sachstand 02/2018: Das Projekt soll durch die Stiftung Industriedenkmalpflege und Geschichtskultur zur Förderung angemeldet werden - die genaue Zeitschiene ist noch zu definieren

Sachstand 07/2019: Der bisherige Sachstand gilt unverändert weiter.

Sachstand 02/2020: Der aktuelle Stand kann dem neuen Projektsteckbrief entnommen werden.

Sachstand 06/2021: Das Projekt befindet sich in der Antragsstellung.

Sachstand 04/2025: Ein erster Förderbescheid im Rahmen der Städtebauförderung ist an die Industriedenkmalstiftung erteilt worden, so dass mit den Planungen zur Sanierung des Doppelbock-Fördergerüsts begonnen werden kann.";Gneisenauallee;1;212;Derne;210;Derne;2;Scharnhorst;051;Derne/Hostedde/Kirchderne/Grevel;;;397556.33999999973;571381.29999999;51.5659710126, 7.52196556272;Dortmund
Entwicklung des Hoeschparks und des Freibads Stockheide zum Integrations-, Gesundheits-, Sport- und Freizeitpark;IN-NORD;Ökologie;Infrastrukturen\Sport+Freizeit;398;A;;umgesetzt/abgeschlossen;"Entwicklung des Hoeschparks und des Freibads Stockheide zum Integrations, Gesundheits-, Sport- und Freizeitpark.

Sachstand 01/2018: Innerhalb des IHK Dortmund Nordstadt wird derzeit ein Realisierungswettbewerb gestartet, der voraussichtlich im Herbst 2018 abgeschlossen wird. Ende des Jahres wird ein Förderantrag gestellt. 

Sachstand 07/2019: Der bisherige Sachstand gilt unverändert weiter.

Sachstand 02/2020: Der aktuelle Stand kann dem neuen Projektsteckbrief entnommen werden.

Sachstand 06/2021: Das Projekt wird derzeit umgesetzt. Fertigstellung ist voraussichtlich in 2. Quartal 2022

Sachstand 04/2025: Das Projekt ist fertiggestellt.";Kirchderner Straße;41;062;Westfalenhütte;060;Borsigplatz;20;Innenstadt-Nord;023;Borsigplatz;023;Borsigplatz;395311.3799999998;57957.989999999;51.5275352304, 7.49084649242;Dortmund
Entwicklung Westfalenhütte;IN-NORD;Ökonomie;Stadtentwicklung;496;A;;gestartet/läuft;"Entwicklung der ehemaligen Montanfläche für sowohl eine industrielle Nachnutzung als auch Gewerbeansiedlungen, die Ansiedlung von Wohnen, die Vernetzung von Grünzügen und die verkehrliche Entlastung der Nordstadt (Nordspange). 

Sachstand 02/2018: Derzeit wird die Offenlage für den Bebauungsplan InN 219 - Haupterschließung Westfalenhütte - und die Änderung Nr. 15 a des Flächennutzungsplans vorbereitet (Parallelverfahren). 

Sachstand 04/2019: Die Offenlage muss im 4. Quartal wiederholt werden. Satzungsbeschluss voraussichtlich im 1. Quartal 2020.

Sachstand 02/2020: Der Satzungsbeschluss im Bebauungsplanverfahren InN 219 - Haupterschließung Westfalenhütte - und die 15. Änderung des Flächennutzungsplanes sollen im Juni 2020 beschlossen werden.

Sachstand 06/2021: Der Bebauungsplan InN 219 wurde im Sommer 2020 als Satzung beschlossen, die Änderungs Nr. 15a des Flächennutzungsplanes wurde im Frühjahr von der BR Arnsberg genehmigt. Die Änderung Nr. 15b des Flächennutzungsplanes (für eine kleine Teilfläche des Grünen Rings) befindet sich im Verfahren; der Abschluss des Verfahrens ist für das 3. Quartal 2021 angestrebt.

Sachstand 07/2022:  InN 219 abgeschlossen. Erneuter Satzungsbeschluss InN 219 am 16.12.2021. Ratsbeschluss über städtebaulichen Vertrag und Grundstückskaufvertrag mit Thyssenkrupp am 23.06.2022. Vertragsabschluss und Bekanntmachung (Rechtskraft) InN 219 soll im Sommer 2022 erfolgen. Eigentumsübergang zum 20.09.2022 geplant. Daran anschließend zunächst Bodensanierung durch Thyssenkrupp, dann Umsetzung städtischer Baumaßnahmen.  Die Änderungen des Flächennutzungsplans Nr. 15 a und 15 b sind abgeschlossen und wurden rechtswirksam mit der Bekanntmachung Nr. 59 vom 08.10.2021 für die Änderung Nr. 15 a und mit der Bekanntmachung Nr. 15 vom 11.03.2022 für die Änderung Nr. 15 b.

Sachstand 03/2025:Planverfahren abgeschlossen, daher kein neuer Sachstand; Weiteres s. ""Nordpange"".";Springorumstraße;300;062;Westfalenhütte;060;Borsigplatz;20;Innenstadt-Nord;023;Borsigplatz;023;Borsigplatz;3954.6499999998;579869.749999999;51.5301636962, 7.48633737319;Dortmund
Erlebnis- und Begegnungsbereich am Bodendenkmal ehem. Haus Mengede;Mengede;Soziales;Stadtentwicklung;943;B (4);;gestartet/läuft;"Generationsübergreifende Angebote des Erlebens und sich Begegnens sollen installiert werden. 

Sachstand 06/2021: Im Rahmen eines OT wurde die Entwicklung der Fläche besprochen. Demnach sollen auf der Außenanlage im Bereich der ehemaligen Gräfte Bänke und Wipptiere installiert werden. Dafür wird der 3m hohe Stahlmattenzaun näher an das Bodendenkmal herangesetzt und die verlandete Gräfte dadurch geöffnet. Der Zaun wird mit heimischen Pflanzen begrünt und auf der Wiese zwei Obstgehölze gepflanzt. Zwei neue große Hinweistafeln werden errichtet. Zum anderen soll eine zeitgemäße / moderne digitale Präsentation entstehen. Dafür soll der ehemalige Rittersitz digital rekonstruiert werden um so dem Besucher vor Ort die Möglichkeit zu geben eine virtuelle Reise in die Vergangenheit machen zu können. Die Hinweistafeln werden dafür zusätzlich mit QR-Codes versehen. Der zahlreich wild abgeladene Müll und Schrott wird abgefahren. Nach dem erfolgreichen Abschluss der Maßnahme wird eine offizielle Anbindung des Bodendenkmals an den Emscher-Radweg erfolgen.  In der kommenden Sitzung nach der Sommerpause muss die BV Mengede noch ihr Einverständis erteilen, unmittelbar im Anschluss kann mit den Arbeiten vor Ort begonnen werden. Die digitale Rekonstruktion des Bodendenkmals wurde bereits initiiert.

Sachstand 07/2022: Aufgrund von zwischenzeitlichen Personalengpässen und einer immensen Mehrung der täglichen Arbeit ist das Projekt geschoben worden. Aktuell wird die Beschlussvorlage für die BV-Mengede erstellt. Im Anschluss wird mit der Umgestaltung begonnen.

Sachstand 08/2023: Das Projekt muss aufgrund von Personalengpässen um ein weiteres Jahr geschoben werden.

Sachstand 03/2025: Im Jahr 2024 ist die Vorlage zum Projekt erstellt und der BV zur Abstimmung vorgelegt worden. Die BV hat Ende 2024 dem Projekt zugestimmt. Das Projekt wird in diesem Jahr umgesetzt.";Waltroper Straße;2-10;923;Mengede-Mitte;920;Mengede;9;Mengede;122;Mengede/Oestrich/Schwieringhausen;;;387993.31;5715114.359999999;51.5759552822, 7.38363021519;Dortmund
Ertüchtigung Nordmarkt 3 und Mallinckrodtstraße 55-59 (Viertelwerk);IN-NORD;Ökonomie;Arbeit;339;C;;gestartet/läuft;"Die städtischen Immobilien Nordmarkt 3 und Mallinckrodtstraße 55-59 sollen mit Bau- und Handwerksbetrieben sukzessive ertüchtigt werden. 

Sachstand 10/2018: Viertelwerk gGmbH erhält die genannten Grundstücke in Erbpacht, Laufzeit 75 Jahre. Die Gesellschaft saniert die Gebäude, u. a. unter Verwendung von Förderkrediten der NRW.Bank nach der RL-Mod. Die Wohnungen werden nach Sanierung dem sozialen Wohnungsmarkt zur Verfügung gestellt.

Sachstand 06/2019: Der Sachstand gilt unverändert weiter.

Sachstand 03/2020: Der Sachstand gilt unverändert weiter.

Sachstand 08/2021:Die Ertüchtigung ist in Ausführung bzw. teilweise erledigt. 

Sachstand 07/2022: Die Sanierung des Gebäudes Nordmarkt 3 ist abgeschlossen, das Objekt ist voll vermietet. Die Baugenehmigungen für die Häuser Mallinckrodtstraße 55-59 (Wohnen und Kindertagesstätte) sind erteilt; die Sanierung ist in Ausführung und soll Ende 2023 abgeschlossen werden. 

Sachstand 08/2023: Die Sanierungsarbeiten an Mallinckrodtstr. 55-59 dauern an; die TEK nimmt voraussichtlich im Januar 2024 ihren Betrieb auf.";Mallinckrodtstraße;55;054;Nordmarkt-Ost;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;393679.32999999996;579367.299999999;51.5253994293, 7.46738991586;Dortmund
Existenzgründungs- und Firmenberatung für Migrant*innen;Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökonomie;Arbeit;849;B;;umgesetzt/abgeschlossen;"Die bestehenden Migrant*inennselbstorganisationen und deren informelle Netzwerke sollen für das Projekt erschlossen werden, auch wenn viele dieser Organisationen keinen spezifisch wirtschaftlichen Hintergrund haben (Moschee-Vereine, landsmannschaftliche Organisationen, Schul-Elternvereine). In diesen Vereinigungen gewonnene Ansprechpartner*innen (Ombuds-Leute) nehmen eine Brückenfunktion ein. 

Sachstand 04/2018: Zur Zeit wird ein gleichartiges Teilprojekt BIWAQ III in der Dortmunder Nordstadt umgesetzt. 

Sachstand 04/2021: Der ""nordwärts""-Kuratoriumsvorstand und das ""nordwärts""-Kuratorium haben die nicht begonnenen ""nordwärts""-Teilprojekte priorisiert. Dieses Projekt soll im Zusammenhang des Projektes Nr. 540 ""Zentrum Ethnische Ökonomie (ZEÖ) mitentwickelt werden.

Sachstand 06/2022: Dieses Projekt soll im Zusammenhang des Projektes Nr. 540 ""Zentrum Ethnische Ökonomie (ZEÖ) mitentwickelt werden

Sachstand 06/2023: Durchschnittlich jedes dritte Kleinstunternehmen in der nördlichen Hälfte Dortmunds wird von Menschen mit Zuwanderungshintergrund geführt. Sie alle sind Bestandteil des vielfältigen Dortmunder Wirtschaftslebens und wichtiger Teil der Stadtgesellschaft.Mit dem Zentrum für Ethnische Ökonomie (kurz: ZEÖ) stellen wir ein Unterstützungsangebot bereit, das sich an Klein- und Kleinstunternehmen, Gründer*innen- und Unternehmer*innen sowie Schulabgänger*innen und Berufseinsteiger*innen mit Migrationshintergrund richtet.Aktuell werden ca. 480 Gründer*innen vom ZEÖ betreut und erhalten eine niederschwellige, kultursensible Beratungsleistung, um betriebswirtschaftlich und gewerberechtlich im Rahmen der Vorschriften zu agieren. Dieses Projekt gilt als umgesetzt und wird im Projekt Nr. 540 ""Zentrum Ethnische Ökonomie (ZEÖ) weiterverfolgt.";;;;;;;;;;;;;;;;Dortmund
