;;;;;;;;;;
Haftungsausschluss und Copyright;;;;;;;;;;
"Aufgrund der technischen Merkmale des Internet kann die Zertifizierungsstelle keine Gewähr für die Vollständigkeit und Richtigkeit der hier eingestellten Informationen übernehmen. Sie sollten deshalb die Richtigkeit der hier präsentierten Informationen überprüfen, insbesondere wenn sie als Grundlage für Vertragsabschlüsse dienen. 
Diese Informationen dürfen gespeichert, weitergeben und vervielfältigt, jedoch nicht verändert werden. Bei Weitergabe und Vervielfältigung wird um Quellenangabe gebeten.
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";PrivatRente (mit laufenden Beiträgen in variabler Höhe);Allianz Lebensversicherungs-Aktiengesellschaft;A;000184;01.01.2002;01.12.2012;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";PrivatRente (mit laufenden nicht variablen Beiträgen) ;Allianz Lebensversicherungs-Aktiengesellschaft;A;000185;01.01.2002;01.12.2012;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";FondsRente (mit laufenden nicht variablen Beiträgen), wachsende Überschußrente;Allianz Lebensversicherungs-Aktiengesellschaft;A;000186;01.01.2002;28.08.2006;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";FondsRente (ohne Eigenbeiträge, wachsende Überschußrente);Allianz Lebensversicherungs-Aktiengesellschaft;A;000187;01.01.2002;28.08.2006;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";FondsRente (mit laufenden Beiträgen in variabler Höhe, wachsende Überschußrente);Allianz Lebensversicherungs-Aktiengesellschaft;A;000188;01.01.2002;28.08.2006;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";PrivatRente (mit laufenden Nicht variablen Beiträgen, wachsende Überschußrente);Allianz Lebensversicherungs-Aktiengesellschaft;A;000189;01.01.2002;01.12.2012;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";PrivatRente (ohne Eigenbeiträge, wachsende Überschußrente);Allianz Lebensversicherungs-Aktiengesellschaft;A;000190;01.01.2002;01.12.2012;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";PrivatRente (mit laufenden Beiträgen in variabler Höhe, wachsende Überschußrente);Allianz Lebensversicherungs-Aktiengesellschaft;A;000191;01.01.2002;01.12.2012;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";PrivatRente (mit laufenden nicht variablen Beiträgen), Umstellung von Altverträgen;Allianz Lebensversicherungs-Aktiengesellschaft;A;000192;01.01.2002;01.12.2012;;;
Allianz Lebensversicherungs-AG;"Postfach 10 60 02
70049 Stuttgart";FondsRente (mit laufenden nicht variablen Beiträgen);Allianz Lebensversicherungs-Aktiengesellschaft;A;003645;02.05.2002;28.08.2006;;;
Allianz Lebensversicherungs-AG;"Postfach 10 60 02
70049 Stuttgart";FondsRente (mit laufenden Beiträgen in variabler Höhe);Allianz Lebensversicherungs-Aktiengesellschaft;A;003649;02.05.2002;28.08.2006;;;
Allianz Lebensversicherungs-AG;"Postfach 10 60 02
70049 Stuttgart";FondsRente (ohne Eigenbeiträge);Allianz Lebensversicherungs-Aktiengesellschaft;A;003650;02.05.2002;28.08.2006;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";PrivatRente (variable Beiträge/ohne Eigenbeiträge);Allianz Lebensversicherungs-Aktiengesellschaft;A;003726;02.05.2003;28.08.2006;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";PrivatRente (mit laufenden nicht variablen Beiträgen);Allianz Lebensversicherungs-Aktiengesellschaft;A;003727;02.05.2003;28.08.2006;;;
Allianz Lebensversicherungs-AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisSofortRente  Klassik (interner Versorgungsausgleich);Allianz Lebensversicherungs-Aktiengesellschaft;B;004963;19.05.2010;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Klassik (interner Versorgungsausgleich);Allianz Lebensversicherungs-Aktiengesellschaft;B;004964;19.05.2010;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";FondsRente (mit laufenden Beiträgen in variabler Höhe);Allianz Lebensversicherungs-Aktiengesellschaft;A;000181;01.01.2002;01.12.2012;;;
Allianz Lebensversicherungs-AG;"Reinsburgstraße 19
70178 Stuttgart";Presse BasisRente IndexSelect;Allianz Lebensversicherungs-Aktiengesellschaft;B;004885;19.03.2010;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstraße 19
70178 Stuttgart";Presse BasisRente Invest alpha-Balance;Allianz Lebensversicherungs-Aktiengesellschaft;B;004886;19.03.2010;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstraße 19
70178 Stuttgart";Presse BasisRente Invest;Allianz Lebensversicherungs-Aktiengesellschaft;B;004887;19.03.2010;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente IndexSelect mit Darlehenszusage;Allianz Lebensversicherungs-Aktiengesellschaft;A;004490;18.11.2009;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente IndexSelect;Allianz Lebensversicherungs-Aktiengesellschaft;A;004489;18.11.2009;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Invest alpha-Balance (interner Versorgungsausgleich);Allianz Lebensversicherungs-Aktiengesellschaft;B;004965;19.05.2010;01.01.2013;;;
"Allianz Lebensversicherungs-AG


";"Reinsburgstraße 19
70178 Stuttgart
";RiesterRente mit Fonds und Garantie;Allianz Lebensversicherungs-Aktiengesellschaft;A;003821;01.06.2006;01.01.2013;;;
Allianz LebensversicherungsAktiengesellschaft;"Reinsburgstr. 19
70178 Stuttgart
";Allianz RiesterRente Klassik (mit dynamischem Zuwachs von Leistung und Beitrag);Allianz Lebensversicherungs-Aktiengesellschaft;A;003918;02.01.2008;01.01.2013;;;
Allianz LebensversicherungsAktiengesellschaft;"Reinsburgstr. 19
70178 Stuttgart"; Allianz RiesterRente InvestGarantie (mit dynamischem Zuwachs von Leistung und Beitrag);Allianz Lebensversicherungs-Aktiengesellschaft;A;003919;02.01.2008;01.01.2013;;;
Allianz LebensversicherungsAktiengesellschaft;"Reinsburgstr. 19
70178 Stuttgart";Presse RiesterRente InvestGarantie (mit dynamischem Zuwachs von Leistung und Beitrag);Allianz Lebensversicherungs-Aktiengesellschaft;A;003920;02.01.2008;01.01.2013;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse BasisRente Invest alpha-Balance;Allianz Lebensversicherungs-Aktiengesellschaft;B;005699;21.11.2011;01.01.2017;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse BasisRente Invest;Allianz Lebensversicherungs-Aktiengesellschaft;B;005700;21.11.2011;01.01.2017;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente Klassik;Allianz Lebensversicherungs-Aktiengesellschaft;A;005669;01.01.2012;01.01.2017;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse Zukunftsrente Invest-Flex mit Garantie (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006081;07.11.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse Zukunftsrente Index-Select (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006083;11.11.2016;01.05.2018;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente IndexSelect Plus (RiesterRente) E84;Allianz Lebensversicherungs-Aktiengesellschaft;A;006169;20.10.2017;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect (RiesterRente) E83;Allianz Lebensversicherungs-Aktiengesellschaft;A;006168;20.10.2017;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006170;20.10.2017;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect Plus (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006171;20.10.2017;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse Zukunftsrente IndexSelect (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006172;20.10.2017;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Invest-Flex mit Garantie (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006026;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Index Select (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006021;17.08.2016;01.05.2018;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Perspektive (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006022;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Perspektive (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006027;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Index-Select (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006028;17.08.2016;01.05.2018;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunfsrente Klassik (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006024;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Invest-Flex mit Garantie;Allianz Lebensversicherungs-Aktiengesellschaft;A;006025;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente KomfortDynamik (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006023;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente Komfort-Dynamik (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006029;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente Invest-Flex (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006030;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";BasisRente StartUpKlassik;Allianz Lebensversicherungs-Aktiengesellschaft;B;006031;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";BasisRente StartUp Invest;Allianz Lebensversicherungs-Aktiengesellschaft;B;006032;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Klassik (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006033;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz SofortRente Klassik (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006039;09.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente Klassik (RiesterRente) VAUS extern;Allianz Lebensversicherungs-Aktiengesellschaft;A;006038;17.08.2016;;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente InvestFlex mit Garantie (RiesterRente) VAUS ex;Allianz Lebensversicherungs-Aktiengesellschaft;A;006037;17.08.2016;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Klassik (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006216;23.11.2018;30.04.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006217;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente InvestFlex (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006218;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente InvestFlex mit Garantie (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006204;27.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Perspektive (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006205;27.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect Plus (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006206;27.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006207;27.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Klassik (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006208;27.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect Plus (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006219;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente KomfortDynamik (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006220;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz SofortRente (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006221;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente StartUp Invest;Allianz Lebensversicherungs-Aktiengesellschaft;B;006222;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente StartUp;Allianz Lebensversicherungs-Aktiengesellschaft;B;006223;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente InvestFlex mit Garantie (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006224;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse Zukunftsrente InvestFlex mit Garantie (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006212;05.12.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente InvestFlex mit Garantie (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006225;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse Zukunftsrente IndexSelect (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006227;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse Zukunftsrente InvestFlex (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006226;23.11.2018;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Perspektive (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006263;16.07.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006264;16.07.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente InvestFlex (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006265;16.07.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente InvestFlex mit Garantie (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006266;16.07.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente StartUp Invest;Allianz Lebensversicherungs-Aktiengesellschaft;B;006267;16.07.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect Plus (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006268;16.07.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente KomfortDynamik (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006269;16.07.2019;30.04.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente Komfort Dynamik (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006256;16.07.2019;30.04.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente Perspektive (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006257;16.07.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente Invest-Flex mit Garantie (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006258;16.07.2019;30.04.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente Index-Select Plus (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006259;16.07.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente Index Select (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006260;16.07.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse Zukunftsrente InvestFlex mit Garantie (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006270;09.08.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente InvestFlex (BasisRente) E 410 (PRE);Allianz Lebensversicherungs-Aktiengesellschaft;B;006272;09.08.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006302;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect Plus (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006303;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente InvestFlex mit Garantie (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006304;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Perspektive (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006293;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006294;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente InvestFlex mit Garantie (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006297;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente InvestFlex (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006298;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente StartUp Invest;Allianz Lebensversicherungs-Aktiengesellschaft;B;006299;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz SofortRente (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006300;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente KomfortDynamik (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006301;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente IndexSelect Plus (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;006309;06.11.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Perspektive (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006305;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente KomfortDynamik (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006306;25.10.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse Zukunftsrente InvestFlex mit Garantie (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;006322;11.12.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Zukunftsrente InvestFlex (BasisRente) E 410 (PRE);Allianz Lebensversicherungs-Aktiengesellschaft;B;006324;11.12.2019;04.05.2021;;;
Allianz Lebensversicherungs-Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz Zukunftsrente Komfort-Dynamik (BasisRente);Allianz Lebensversicherungs-Aktiengesellschaft;B;005943;15.06.2015;24.05.2017;;;
