id;einwilligung_teaser;aenderungsmitteilung;name_anbieter;kurzbeschreibung_des_anbieters;kurzbeschreibung_des_angebots;art_der_ermaessigung;website;strasse_und_hausnummer_des_angebots;plz_und_ort_des_angebots;gratis;kategorie;zielgruppen;freigabe;ansprechperson_anrede;ansprechperson_name;ansprechperson_email;einwilligung;empfaenger_recipient;empfaenger_subject;create_date;update_date
52;;;"Bockwindmühle Berlin-Marzahn";"Die Marzahner Bockwindmühle ist der Nachbau einer bereits im Jahr 1815 in Marzahn in Betrieb genommenen Bockwindmühle. Sie ist in der Abfolge der vierte Mühlenbau und wurde im Jahr 1994 an ihrem neuen Standort Hinter der Mühle 4 eingeweiht";;"freier Eintritt für alle Besucher*innen";https://marzahner-muehle.de/;"Alt-Marzahn 63";"12685 Berlin";ja;Freizeit;"Erwachsene, Senioren, Familie";;;;muehlenverein@marzahner-muehle.de;;;;"2025-01-18 15:22:34";"2025-06-06 11:52:09"
53;;;"Bode Museum";"Der prächtige Bau des Bode-Museums vereint die Skulpturensammlung und die Sammlung des Museums für Byzantinische Kunst, sowie das Münzkabinett.";;"freier Eintritt";https://www.smb.museum/bm;"Am Kupfergraben";"10178 Berlin";ja;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;kommunikationHV@hv.spk-berlin.de;;;;"2025-01-19 15:22:34";"2025-04-25 12:19:25"
54;;;"Botanischer Garten und Botanisches Museum";;"Mit nahezu 20.000 Pflanzenarten ist der Botanische Garten Berlin der größte in Deutschland und zählt zu den bedeutendsten weltweit. Auf 43 Hektar Freigelände und in fünfzehn Gewächshäusern erhalten Besucherinnen und Besucher faszinierende Einblicke in die Welt der Botanik.";"Besuch zu ermäßigten Eintrittspreisen. Bei Sonderveranstaltungen gelten gesonderte Eintittspreise.";www.bo.berlin;"Königin-Luise-Straße 6-8";"14195 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";ja;;;f.krug@bo.berlin;;;;"2025-01-20 15:22:34";"2025-06-06 11:51:10"
55;;;"Britzer Garten";"Der Britzer Garten ist eine einmalige grüne Oase mitten in der Großstadt. Seit seiner Entstehung zur Bundesgartenschau 1985 bietet er den Besucher*innen ausreichend Platz für Erholung, Freizeit, Sport, gesundheitliche und kulturelle Aktivitäten.";;"ermäßigter Eintritt, ausgenommen Veranstaltungen mit Sondereintritt. Sommersaison: 1. März - 31. Oktober: 1,50 Euro (statt 3 Euro), Wintersaison: 1. November - 28./29. Februar: 1 Euro (statt 2 Euro)";https://www.britzergarten.de/;"Sangerhauser Weg 1";"12349 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;melanie.kutscherauer@gruen-berlin.de;;;;"2025-01-21 15:22:34";"2025-06-06 11:53:17"
56;;;"Brotfabrik Kulturzentrum";"Die Brotfabrik ist ein Berliner Kunst- und Kulturzentrum.";;"ermäßigter Eintritt für Kino/Bühne/Galerie/Atelier";https://www.brotfabrik-berlin.de/;"Caligaripl. 1";"13086 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-01-22 15:22:34";"2025-02-24 14:48:20"
57;;;Brücke-Museum;"Das Brücke-Museum Berlin besitzt die weltweit größte zusammenhängende Sammlung von Werken der expressionistischen Künstlergruppe Brücke.";;"ermäßigter Eintritt, Schüler*innen haben freien Eintritt";www.bruecke-museum.de;"Bussardsteig 9";"14195 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-01-23 15:22:34";"2025-02-24 14:48:20"
58;;;Buchstabenmuseum;"Buchstabenmuseum ist die Bezeichnung für ein Museumsprojekt in Berlin, das zum Ziel hat, interessante typografische Objekte aus dem öffentlichen Raum  meist dreidimensionale Gebäudebeschriftungen  zu sammeln und zu bewahren, zu dokumentieren und dauerhaft auszustellen.";;"Das Buchstabenmuseum ist weltweit das einzige Museum, das Typografie aus dem öffentlichen Raum sammelt und als Teil der Stadtgeschichte präsentiert. Do-So 13-17 Uhr. 12 Euro, ermäßigt 6,50 Euro. Keine Online-Buchung notwendig.";www.buchstabenmuseum.de;"Stadtbahnbogen 424";"10557 Berlin";nein;Kultur;"Kinder, Familie";;;;;;;;"2025-01-24 15:22:34";"2025-02-24 14:48:20"
59;;;Bundesplatz-Kino;"Das fast hundert Jahre alte Kiezkino am Bundesplatz in Wilmersdorf zeigt nicht nur Filme zum offiziellen Kinostart, sondern präsentiert auch filmhistorische Reihen und bietet zahlreiche Publikumsgespräche mit Filmschaffenden an. Der 2011 renovierte Kinosaal bietet 87 Gästen Platz.";;"ermäßigter Eintritt";http://www.bundesplatz-kino.de/;"Bundespl. 14";"10715 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-01-25 15:22:34";"2025-02-24 14:48:21"
61;;;"BVG / S-Bahn";"Die Berliner Verkehrsbetriebe sind ein Verkehrsunternehmen für den Öffentlichen Personennahverkehr in Berlin in der Rechtsform einer Anstalt des öffentlichen Rechts";;"Berlin Ticket S -  ermäßigter monatlicher Wertabschnitt - gültig im gesamten Stadtgebiet ( Berlin AB) gültig für den jeweiligen Kalendermonat. 19 Euro";https://www.bvg.de/de/abos-und-tickets/alle-tickets;;Berlin;nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-01-27 15:22:34";"2025-02-24 14:48:22"
62;;;"C/O Berlin";"C/O Berlin ist ein privates Ausstellungshaus für Fotografie.";;"ermäßigter Eintritt, 6 Euro. Eintritt für Kinder und Jugendliche bis 18 Jahre frei.";www.co-berlin.org;"Hardenbergstraße 22-24";"10623 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;;;;;;;"2025-01-28 15:22:34";"2025-02-24 14:48:22"
63;;;"Capitol Dahlem";"Das kleine, in einer efeubewachsenen Villa beheimatete Programmkino zeigt ausgewählte internationale Filme.";;"ermäßigter Eintritt Mo-Do ganztägig, am Freitag bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";http://www.yorck.de/preise-angebote;"Thielallee 36";"14195 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-01-29 15:22:34";"2025-02-24 14:48:23"
64;;;"Centrum Judaicum";"Die Neue Synagoge an der Oranienburger Straße im Ortsteil Mitte von Berlin ist ein Gebäude von herausragender Bedeutung für die Geschichte der Juden in Berlin und ein Baudenkmal";;"ermäßigter Eintritt, Bei Vorlage des Ausweises erhalten Nachweis-Inhaber*innen ermäßigte Preise im Museum - 4,50 Euro (statt 7 Euro)";https://centrumjudaicum.de/;"Oranienburger Str. 28-30";"10117 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-01-30 15:22:34";"2025-02-24 14:48:23"
65;;;"Chamäleon Theater Berlin";"Das Chamäleon Berlin ist eine Kreativ- und Spielstätte für zeitgenössischen Zirkus in den Hackeschen Höfen im Berliner Ortsteil Mitte des gleichnamigen Bezirks.";;"Nachweis-Inhaber*innen bieten wir für alle unsere Stücke unser Soli-Ticket zu 10 Euro an. Das Angebot richtet sich nach Verfügbarkeit. Bitte geben Sie im Kontaktformular, welches Sie auf unserer Website finden, Ihre Daten sowie bis zu drei Wunschtermine für Ihren Besuch an. Dies ist lediglich eine Anfrage und noch keine Buchung. Wir werden uns dann so schnell wie möglich bei Ihnen zurückmelden.";https://chamaeleonberlin.com/de/angebote/;"Rosenthaler Str. 40/41";"10178 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie";;;;;;;;"2025-01-31 15:22:34";"2025-02-24 14:48:24"
66;;;"Cineplex Alhambra";"Das Cineplex Alhambra ist ein Kino im Berliner Ortsteil Berlin-Wedding.";;"ermäßigter Eintritt Montag bis Mittwoch, zzgl. Zuschläge für 3D, Filmzuschlag, Loge/Hochparkett";https://www.cineplex.de/;"Seestraße 94";"13353 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-01 15:22:34";"2025-02-24 14:48:24"
67;;;"Cineplex Neukölln in den Neukölln Arcaden";"Cineplex Neukölln ist ein Kino in den Neuköllner Arcaden";;"ermäßigter Eintritt Montag bis Mittwoch, zzgl. Zuschläge für 3D, Filmzuschlag, Loge/Hochparkett";https://www.cineplex.de/;"Karl-Marx-Straße 66";"12043 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-02 15:22:34";"2025-02-24 14:48:24"
68;;;"Cineplex Spandau";"Das Cineplex Spandau ist ein Kino im Berliner Ortsteil Spandau";;"ermäßigter Eintritt Montag bis Mittwoch, zzgl. Zuschläge für 3D, Filmzuschlag, Loge/Hochparkett";https://www.cineplex.de/;"Havelstraße 20";"13597 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-03 15:22:34";"2025-02-24 14:48:25"
69;;;"Cineplex Titania";"Der Titania-Palast ist ein traditionsreiches Kino im Berliner Bezirk Steglitz-Zehlendorf";;"ermäßigter Eintritt Montag bis Mittwoch, zzgl. Zuschläge für 3D, Filmzuschlag, Loge/Hochparkett";https://www.cineplex.de/;"Gutsmuthsstraße 27/28";"12163 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-04 15:22:34";"2025-02-24 14:48:25"
71;;;"DAS WEITE THEATER";"Das Weite Theater ist eine Kultureinrichtung in Berlin, die ihre Thematik über Puppenspiel an die Zuschauer vermittelt";;"Das Theater ist im Puppenspiel zu Hause, aber nicht darauf festgelegt: Das Spektrum ist “WEIT“ – entscheidend ist, mit welchen Mitteln sich eine Geschichte transportieren lässt Ermäßigungen: bei Kindervorstellungen: 3 Euro für Kinder |  4,50 Euro für Erwachsene | bei Abendvorstellungen: 10 Euro";http://www.das-weite-theater.de;"Storkower Str, im Cedio 207";"10369 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-02-06 15:22:34";"2025-02-24 14:48:26"
72;;;"DDR Museum";"Das DDR-Museum Berlin ist ein privatwirtschaftlich geführtes Museum im DomAquarée im Berliner Ortsteil Mitte. Es behandelt in seiner Dauerausstellung das Leben und die Alltagskultur der DDR mit Vorrang in Berlin. ";;"ermäßigter Eintritt";www.ddr-museum.de;"Vera Britain Ufer, Karl-Liebknecht-Str. 1";"10178 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-02-07 15:22:34";"2025-02-24 14:48:27"
73;;;"Delphi Filmpalast";"Der Delphi Filmpalast am Zoo ist ein 1949 eröffnetes Kino und Uraufführungstheater im Berliner Ortsteil Charlottenburg";;"ermäßigter Eintritt Mo-Do ganztägig, Fr bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen. Nachweis-Inhaber*innen  zahlen nur 5 Euro (plus jeweilige ?úberlängenzuschläge).";http://www.yorck.de/preise-angebote;"Kantstraße 12A";"10623 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-08 15:22:34";"2025-02-24 14:48:27"
74;;;"Denkmal für die ermordeten Juden Europas";"Das Denkmal für die ermordeten Juden Europas, kurz Holocaust-Mahnmal, in der historischen Mitte Berlins erinnert an die rund sechs Millionen Juden, die unter der Herrschaft Adolf Hitlers und der Nationalsozialisten ermordet wurden.";;"freier Eintritt für alle Besucher*innen";https://www.stiftung-denkmal.de/;"Cora-Berliner-Straße 1";"10117 Berlin";ja;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-09 15:22:34";"2025-02-24 14:48:29"
75;;;"Der Milchsalon";"Der Milchsalon ist seit 2011  eine erfrischend andere Konzertreihe, die Kinder zum Musizieren, Tanzen und Ausflippen animiert.";;"10% Ermäßigung auf den regulären Eintrittspreis, der beträgt bei Erwachsenen 12 Euro bis 20 Euro und bei Kindern 10 Euro bis 15 Euro,  je nach Veranstaltung. Ausgefallene Konzerte werden auf einen späteren Termin verlegt, die Tickets behalten ihre Gültigkeit.";https://milchsalon.de/;"Pappelallee 76";"10437 Berlin";nein;Freizeit;"Kinder, Familie";;;;;;;;"2025-02-10 15:22:34";"2025-02-24 14:48:29"
77;;;"Deutsche Oper Berlin";"Modernes Theater mit 1885 Sitzplätzen für Opern- und Ballettaufführungen und einem elegantem Restaurant.";;"""3 Euro Ticket"""" Karten am Tag der Vorstellung (ab 10 Stunden vor der Vorstellung) auch online buchbar. Der Nachweis wird beim Einlass kontrolliert.""";https://deutscheoperberlin.de/de_DE/home;"Bismarckstraße 35";"10627 Berlin";nein;Kultur;"Erwachsene, Senioren";;;;;;;;"2025-02-12 15:22:34";"2025-02-24 14:48:30"
78;;;"Deutsches Historisches Museum";"Das Deutsche Historische Museum ist ein Museum für deutsche Geschichte im Berliner Ortsteil Mitte.";;"ermäßigter Eintritt, 4 Euro; Eintritt frei für Kinder und Jugendliche bis 18 Jahre";https://www.dhm.de/;"Unter den Linden 2";"10117 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-02-13 15:22:34";"2025-02-24 14:48:31"
79;;;"Deutsches Spionagemuseum";"Das Deutsche Spionagemuseum Berlin bietet in seinem Erlebnismuseum einen interaktiven Einblick in die Welt der Spionage.";;"ermäßigter Eintritt";https://www.deutsches-spionagemuseum.de;"Leipziger Pl. 9";"10117 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-14 15:22:34";"2025-02-24 14:48:31"
80;;;"Deutsches Technikmuseum inkl. Science Center Spectrum";"Das Deutsche Technikmuseum in Berlin befasst sich auf über 28.500 Quadratmetern mit der Wandlung der Technik und deren Bedeutung für die kulturelle Entwicklung.";;"ermäßigter Eintritt, Ab 15 Uhr freien Eintritt für Kinder und Jugendliche bis 18 Jahren. ?Ñnderung vorbehalten.";https://technikmuseum.berlin/;"Trebbiner Str. 9";"10963 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-15 15:22:34";"2025-02-24 14:48:32"
81;;;"Deutsches Theater Berlin";"Von Klassikern zu zeitgenössischen Stücken: Das Deutsche Theater (DT) weiß, Vergangenheit und Gegenwart miteinander zu verbinden.";;"""3 Euro Ticket"""" An der Abendkasse, Reservierungen möglich, begrenztes Kontingent im Vorverkauf, ausgenommen sind Premieren, Sonder- und Fremdveranstaltungen.""";https://www.deutschestheater.de/;"Schumannstraße 13A";"10117 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-02-16 15:22:34";"2025-02-24 14:48:33"
82;;;"Museum Berlin-Karlshorst";"Im Gebäude des Museums Karlshorst (ehemals Deutsch-Russisches Museum Karlshorst) wurde am 8. Mai 1945 mit der Kapitulation der deutschen Wehrmacht der 2. Weltkrieg beendet. An diesem Ort wird an das historische Ereignis erinnert.";;"freier Eintritt für alle Besucher*innen";www.museum-karlshorst.de;"Zwieseler Str. 4";"10318 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-02-17 15:22:34";"2025-02-24 14:48:33"
84;;;"Drumtrainer Junior Music School";"Drumtrainer Berlin ist eine 2008 von Dirk Erchinger gegründete private Schlagzeugschule in Berlin-Kreuzberg.";;"Musikschule für Kinder mit Fokus auf Schlagzeugunterricht, es wird aber auch z.B. Gitarrenunterricht angeboten. 20% Rabatt auf die Tarife s. Website";http://www.drumtrainerjunior.de/;"Willibald-Alexis-Straße 12";"10965 Berlin";nein;"Bildung & Beratung";Kinder;;;;;;;;"2025-02-19 15:22:34";"2025-02-24 14:48:34"
85;;;"Dunkelrestaurant Nocti Vagus und unsicht-bar";"Lokal mit gedimmter Bar & völlig abgedunkeltem Restaurant, in dem Gäste speisen, ohne ihren Sehsinn zu nutzen.";;"ermäßigter Eintritt, Kinder unter 15 Jahren erhalten 50% Rabatt auf das ""Dinner in the Dark""""-Menü""";https://www.unsicht-bar-berlin.de/de/html/home_1.html;"Saarbrücker Str. 36-38";"10405 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-20 15:22:34";"2025-02-24 14:48:35"
86;;;"Eissporthalle Charlottenburg";"Die Eissporthalle Charlottenburg ist eine der beiden Eissportanlagen im Berliner Bezirk Charlottenburg-Wilmersdorf mit zwei wettkampfgemäßen, ca. 30 Meter × 60 Meter großen Eisflächen, ausgeführt als eine geschlossene Halle sowie eine überdachte Freifläche.";;;https://www.berlin.de/ba-charlottenburg-wilmersdorf/ueber-den-bezirk/gebaeude-und-anlagen/sportanlagen/eissportanlagen/artikel.111095.php;"Glockenturmstraße 14";"14053 Berlin";nein;Sport;"Kinder, Erwachsene, Familie";;;;;;;;"2025-02-21 15:22:34";"2025-02-24 14:48:37"
87;;;"Energie-Museum Berlin";"Das Energie-Museum Berlin bietet Ihnen über 5000 Exponate aus mehr als hundert Jahren der Entwicklung der Elektrotechnik.";;"Der Eintritt ist frei, Spenden sind willkommen! Es gibt keine festen ?ñffnungszeiten. Führungen sind in der Regel nur nach voriger Anmeldung über unser Kontaktformular möglich. Es gibt aber auch Termine, wo Führungen ohne Voranmeldungen möglich sind (s. Website). Zum Beispiel die Expressführung immer am letzten Samstag im Monat (außer August und Dezember) von 11-12 Uhr.";www.energie-museum.de;"Teltowkanalstraße 9";"12247 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-02-22 15:22:34";"2025-02-24 14:48:37"
88;;;"Erika-Heß-Eisstadion Wedding";"Das Erika-Heß-Eisstadion ist die drittgrößte Eissporthalle Berlins. Sie wurde im Jahr 1967 fertiggestellt und ist die Heimstätte des Berliner Eishockeyvereins FASS Berlin";;"ermäßigter Eintritt";https://www.berlin.de/special/sport-und-fitness/adressen/eisbahn/erikahesseisstadion-wedding-e0cdc1876dd0f3b06f479c0150002a85.html;"Müllerstraße 185";"13353 Berlin";nein;Sport;"Kinder, Erwachsene, Familie";;;;;;;;"2025-02-23 15:22:34";"2025-02-24 14:48:37"
89;;;"Erinnerungsstätte Notaufnahmelager Marienfelde";"Die Ausstellung in der Erinnerungsstätte Notaufnahmelager Marienfelde dokumentiert auf rund 450 Quadratmetern die Geschichte der deutsch-deutschen Fluchtbewegung.";;"freier Eintritt, Fr-So 11-17 Uhr";https://www.stiftung-berliner-mauer.de/de/notaufnahmelager-marienfelde;"Marienfelder Allee 66-80";"12277 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-02-24 15:22:34";"2025-02-24 14:48:38"
90;;;Eva-Lichtspiele;"Die Eva Lichtspiele sind ein Kino in Berlin-Wilmersdorf.";;"ermäßigter Eintritt";www.eva-lichtspiele.de;"Blissestraße 18";"10713 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-02-25 15:22:34";"2025-02-24 14:48:38"
91;;;"Familienfez im FEZ-Berlin";"Riesiges Aktivitätszentrum in einem Waldpark mit Spielplätzen, Schwimmbad, Theater und interaktiven Exponaten.";;"Ermäßigter Eintritt für viele Familienaktionen. Nachweis-Inhaber*innen bitte an der Kasse melden. je nach Programm";www.fez-berlin.de;"Str. zum FEZ 2";"12459 Berlin";nein;Freizeit;"Kinder, Familie";;;;;;;;"2025-02-26 15:22:34";"2025-02-24 14:48:39"
94;;;"FEZ-Berlin, Berlins beste Ferien";"Ob Winter-, Oster-, Sommer- oder Herbstferien, das FEZ-Berlin bietet ein spannendes Programm für alle Ferienkinder.";;"Ermäßigter Eintritt für Ferienevents. Dieser entfällt für Schüler*innen, wenn die Schule das Bildungs- und Teilhabepaket in Anspruch nehmen kann. Nachweis-Inhaber*innen bitte an der Kasse melden. nach Programm";https://ferienfez.fez-berlin.de/;"Str. zum FEZ 2";"12459 Berlin";nein;Freizeit;"Kinder, Familie";;;;;;;;"2025-03-01 15:22:34";"2025-02-24 14:48:40"
95;;;FEZ-Schwimmhalle;"Die FEZ-Schwimhallte bietet ausreichend Platz im 50m-Becken mit seinen 8 Bahnen. Eine weitere Besonderheit ist das 8 x 12 m große Lehrschwimmbecken.";;"Ermäßigter Eintritt.  Nachweis-Inhaber*innen bitte an der Kasse melden.";https://baeder.fez-berlin.de/;"Str. zum FEZ 2";"12459 Berlin";nein;Sport;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-03-02 15:22:34";"2025-02-24 14:48:40"
96;;;"FHXB Friedrichshain-Kreuzberg Museum";"Das FHXB Friedrichshain-Kreuzberg Museum beherbergt ein Archiv zur Geschichte der beiden Berliner Bezirksteile, wechselnde Ausstellungen zur Regional- und Stadtteilgeschichte und eine Dauerausstellung zur Stadtentwicklung und Migrationsgeschichte.";;"freier Eintritt für alle Besucher*innen";www.fhxb-museum.de;"Adalbertstraße 95A";"10999 Berlin";ja;Kultur;"Erwachsene, Senioren";;;;;;;;"2025-03-03 15:22:34";"2025-02-24 14:48:41"
97;;;"Figurentheater Grashüpfer";"Das Figurentheater Grashüpfer ist eine kleine intime Spielstätte im Treptower Park. Ein Stamm von Puppenspielbühnen bestimmen das Repertoire des Theaters.";;"1 Erwachsene*r zahlt den ermäßigten Eintrittspreis von 6 Euro (statt 10 Euro) bei Familienvorstellungen. Gilt nicht für Premieren, Märchenabende, Märchenwanderungen und bei Veranstaltungen im Rahmen des Figurentheaterfestivals.";https://theater-treptower-park.de;"Puschkinallee 16 A";"12435 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;;;;;"2025-03-04 15:22:34";"2025-02-24 14:48:41"
98;;;"filmkunst 66";"Das kleine Kino zeigt internationale Indie-Filme in traditioneller Arthouse-Atmosphäre mit modernem Komfort.";;"Nachweis-Inhaber*innen erhalten Mo, Mi-Fr und So bei Vorlage des Nachweiseses eine Ermäßigung von 1 Euro auf die regulären Preise; diese sind: Mo, Mi und Do 9 Euro, Fr-So 10 Euro, an Feiertagen 10 Euro. Wir bitten eventuelle Preiszuschläge bei Filmen mit ?úberlänge zu berücksichtigen. Bitte beachten Sie, dass wir dienstags und am Samstagabend leider keine Ermäßigung gewähren.";https://filmkunst66.de/;"Bleibtreustraße 12";"10623 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;;;;;"2025-03-05 15:22:34";"2025-02-24 14:48:42"
